time,open,high,low,close,volume
1770514433,68400.0,68400.0,68400.0,68400.0,6.45
1770514431,69000.0,69000.0,69000.0,69000.0,24.14
1770514430,68000.0,68000.0,68000.0,68000.0,10.81
1770514429,68800.0,68800.0,68800.0,68800.0,10.31
1770514428,68900.0,68900.0,68900.0,68900.0,17.06
1770514426,67300.0,67300.0,67300.0,67300.0,5.82
1770514425,68100.0,68100.0,68100.0,68100.0,15.18
1770514424,50000.0,50000.0,50000.0,50000.0,6.27
1770514423,68500.0,68500.0,68500.0,68500.0,7.49
1770514421,66300.0,66300.0,66300.0,66300.0,5.72
1770514420,67400.0,67400.0,67400.0,67400.0,5.65
1770514417,60000.0,60000.0,60000.0,60000.0,11.19
1770514416,67900.0,67900.0,67900.0,67900.0,12.65
1770514413,68200.0,68200.0,68200.0,68200.0,13.45
1770514409,55000.0,55000.0,55000.0,55000.0,22.77
1770514390,58000.0,58000.0,58000.0,58000.0,32.02
1770514382,59200.0,59200.0,59200.0,59200.0,5.15
1770514358,63000.0,63000.0,63000.0,63000.0,9.88
1770514352,64000.0,64000.0,64000.0,64000.0,16.1
1770514336,66800.0,66800.0,66800.0,66800.0,8.73
1770514335,67000.0,67000.0,67000.0,67000.0,5.99
1770514332,68300.0,68300.0,68300.0,68300.0,10.56
1770514305,53000.0,53000.0,53000.0,53000.0,9.28
1770514296,56000.0,56000.0,56000.0,56000.0,5.47
1770514294,58500.0,58500.0,58500.0,58500.0,5.36
1770514292,59000.0,59000.0,59000.0,59000.0,5.77
1770514288,62000.0,62000.0,62000.0,62000.0,6.72
1770514285,65000.0,65000.0,65000.0,65000.0,5.48
1770514283,69100.0,69100.0,69100.0,69100.0,12.81
1770514266,69200.0,69200.0,69200.0,69200.0,16.31
1770514265,70400.0,70400.0,70400.0,70400.0,8.91
1770514264,69300.0,69300.0,69300.0,69300.0,28.27
1770514263,70000.0,70000.0,70000.0,70000.0,13.17
1770514262,69800.0,69800.0,69800.0,69800.0,9.07
1770514260,69400.0,69400.0,69400.0,69400.0,14.87
1770514257,70100.0,70100.0,70100.0,70100.0,16.85
1770514252,70200.0,70200.0,70200.0,70200.0,10.01
1770514250,71800.0,71800.0,71800.0,71800.0,57.17
1770514247,71500.0,71500.0,71500.0,71500.0,5.32
1770514245,69900.0,69900.0,69900.0,69900.0,7.96
1770514241,70300.0,70300.0,70300.0,70300.0,9.86
1770514232,73000.0,73000.0,73000.0,73000.0,18.07
1770514229,73500.0,73500.0,73500.0,73500.0,6.01
1770514226,74000.0,74000.0,74000.0,74000.0,9.61
1770514206,73900.0,73900.0,73900.0,73900.0,5.82
1770514199,72000.0,72000.0,72000.0,72000.0,20.13
1770514195,75000.0,75000.0,75000.0,75000.0,6.63
